week_index,industry_energy,heating,air_conditioning,others,lighting,hot_water,cooking,grid_loss,electric_vehicules
0,14878.89,19709.35,649.23,22224.24,4380.88,2628.27,1347.10,6080.07,38.52
1,15101.14,19358.91,593.40,22759.17,4291.17,2629.13,1342.52,6051.38,38.44
2,15075.46,18782.02,587.02,21916.84,4324.82,2628.65,1337.85,6009.03,38.08
3,15007.09,18044.58,615.96,22747.14,4314.44,2628.42,1333.84,5921.45,37.77
4,14977.91,17205.94,665.90,23278.84,4209.26,2627.99,1330.85,5806.54,37.24
5,14953.52,16336.49,702.26,22685.16,4106.63,2619.98,1330.04,5697.23,36.78
6,14924.57,15403.54,720.72,21873.98,4035.98,2593.60,1332.07,5462.36,36.11
7,14896.06,14403.44,743.29,22365.71,3984.62,2560.86,1335.52,5212.02,35.59
8,14937.95,13314.90,745.85,22027.17,3749.23,2528.33,1338.33,4973.36,35.07
9,14967.42,12085.59,748.09,21857.43,3684.60,2495.76,1337.80,4723.75,34.19
10,14950.96,10725.59,786.41,21566.26,3629.90,2445.66,1334.05,4445.35,33.15
11,14824.31,9196.27,851.00,21364.86,3605.86,2403.28,1324.98,4256.13,32.04
12,14418.60,7507.05,885.21,21252.55,3390.69,2390.55,1378.49,3950.98,29.22
13,14735.35,5774.41,1042.86,21347.71,3373.92,2331.60,1293.61,3837.73,30.00
14,14644.88,4138.75,1140.78,20656.16,3299.97,2278.57,1272.48,3646.33,28.95
15,14537.40,2725.81,1269.98,20196.53,3213.57,2243.19,1248.34,3485.67,28.27
16,13789.71,1637.26,1321.07,19067.74,2974.82,2255.92,1348.62,3205.32,24.46
17,13223.68,894.11,1391.67,18745.02,2752.58,2267.73,1446.40,2987.75,20.95
18,14476.32,449.95,1789.66,20156.45,2942.94,2169.52,1185.92,3220.93,26.38
19,14033.16,209.32,1850.93,19383.45,2772.25,2158.88,1237.77,3086.32,24.85
20,14475.39,92.49,2179.07,19629.53,2878.02,2103.43,1172.73,3159.15,26.24
21,14526.42,37.86,2383.89,19447.07,2856.85,2068.99,1168.70,3146.86,26.15
22,14540.64,14.91,2620.57,18895.47,2817.07,2034.52,1163.67,3133.45,26.10
23,14565.70,5.57,2856.92,18917.16,2816.63,1963.61,1150.95,3135.24,25.99
24,14544.53,2.02,3113.57,19018.11,2813.65,1901.44,1128.90,3132.92,25.88
25,14562.60,0.59,3394.05,19114.90,2773.60,1849.68,1100.97,3141.16,25.74
26,13869.14,0.15,3451.49,18378.53,2574.94,1827.89,1179.39,2983.68,22.86
27,14408.64,0.06,3747.73,19820.72,2751.02,1746.93,1043.58,3089.54,25.43
28,14046.78,0.01,3845.63,19681.00,2742.11,1733.16,1024.20,3020.76,25.18
29,13308.31,0.02,3797.01,18643.42,2664.00,1734.79,1015.45,2960.82,24.76
30,12794.64,0.08,3694.22,16830.85,2530.07,1736.71,1020.50,2924.83,24.48
31,12324.90,0.23,3385.08,15563.71,2389.27,1767.73,1145.26,2810.12,22.04
32,13349.28,0.91,3295.71,17007.81,2606.08,1773.82,1065.48,2974.24,25.10
33,14074.84,3.33,3029.57,18223.15,2705.30,1823.08,1104.48,3044.59,25.67
34,14456.49,11.41,2737.77,18792.97,2982.04,1872.20,1152.82,3110.96,25.83
35,14519.28,37.07,2503.98,18754.53,3235.39,1921.47,1204.39,3155.35,25.86
36,14560.49,109.53,2304.22,18955.23,3344.16,2001.24,1253.66,3191.72,26.07
37,14576.58,283.49,2125.85,19129.55,3382.26,2059.58,1296.64,3242.07,26.45
38,14528.71,641.61,1940.49,19554.75,3453.28,2102.92,1331.23,3312.19,27.19
39,14522.13,1294.22,1783.33,20088.28,3660.65,2146.61,1358.24,3427.30,27.71
40,14626.47,2317.81,1651.36,20735.40,3771.84,2190.16,1376.20,3585.31,28.36
41,14588.90,3764.17,1489.79,20884.80,3784.79,2234.48,1390.74,3878.64,29.40
42,13838.70,5637.87,1237.48,20371.97,3643.77,2318.04,1547.13,4052.19,27.30
43,14396.05,7734.15,1212.46,21702.42,4032.76,2340.43,1483.49,4520.84,29.95
44,14709.92,9940.81,1108.76,21022.25,4032.18,2375.24,1413.76,4922.94,32.84
45,15091.04,12125.94,1081.96,21334.70,4166.75,2439.52,1411.96,5294.60,33.77
46,15221.15,14186.32,998.36,21779.96,4186.65,2490.36,1405.02,5539.89,35.06
47,15315.44,16010.03,965.15,21784.80,4352.69,2527.77,1394.21,5719.78,36.41
48,15323.18,17552.14,949.06,21880.00,4429.35,2565.20,1381.18,5868.90,37.46
49,15028.82,18697.63,918.73,21733.25,4440.47,2604.64,1367.98,5981.78,37.86
50,14025.41,19442.07,816.14,18853.39,4188.19,2644.71,1427.71,5924.67,36.20
51,14035.73,19753.50,699.94,20478.54,4280.73,2650.02,1421.13,5958.42,36.26
